date,portfolio_value,cash,positions,total_value
2020-11-10 09:30:00-05:00,111230.76159286499,28416.041210174553,10,111230.76159286499
2020-11-11 09:30:00-05:00,111595.41277694702,28416.041210174553,10,111595.41277694702
2020-11-12 09:30:00-05:00,111054.09092330933,28416.041210174553,10,111054.09092330933
2020-11-13 09:30:00-05:00,110435.33030128479,28416.041210174553,10,110435.33030128479
2020-11-16 09:30:00-05:00,111922.07118606567,28416.041210174553,10,111922.07118606567
2020-11-17 09:30:00-05:00,112129.28119850159,28416.041210174553,10,112129.28119850159
2020-11-18 09:30:00-05:00,111383.49069976807,28416.041210174553,10,111383.49069976807
2020-11-19 09:30:00-05:00,109769.98167228699,34263.13098526,9,109769.98167228699
2020-11-20 09:30:00-05:00,109704.63118743896,45871.550930023186,7,109704.63118743896
2020-11-23 09:30:00-05:00,110632.47246551514,25496.611003875725,10,110632.47246551514
2020-11-24 09:30:00-05:00,112194.35002708435,25496.611003875725,10,112194.35002708435
2020-11-25 09:30:00-05:00,111997.50119972229,25496.611003875725,10,111997.50119972229
2020-11-27 09:30:00-05:00,111681.86966133118,25496.611003875725,10,111681.86966133118
2020-11-30 09:30:00-05:00,110818.21999931335,45692.88067245483,8,110818.21999931335
2020-12-01 09:30:00-05:00,111211.1203918457,45692.88067245483,8,111211.1203918457
2020-12-02 09:30:00-05:00,110071.24016189575,25343.420940399166,11,110071.24016189575
2020-12-03 09:30:00-05:00,111394.5800819397,36202.900539398186,10,111394.5800819397
2020-12-04 09:30:00-05:00,111853.3506641388,36202.900539398186,10,111853.3506641388
2020-12-07 09:30:00-05:00,112661.09000587463,36202.900539398186,10,112661.09000587463
2020-12-08 09:30:00-05:00,112161.13005447388,36202.900539398186,10,112161.13005447388
2020-12-09 09:30:00-05:00,112803.95056152344,36202.900539398186,10,112803.95056152344
2020-12-10 09:30:00-05:00,111434.7003364563,36202.900539398186,10,111434.7003364563
2020-12-11 09:30:00-05:00,112022.79078102112,36202.900539398186,10,112022.79078102112
2020-12-14 09:30:00-05:00,112975.49056625366,36202.900539398186,10,112975.49056625366
2020-12-15 09:30:00-05:00,112542.88492965698,36202.900539398186,10,112542.88492965698
2020-12-16 09:30:00-05:00,113308.149974823,36202.900539398186,10,113308.149974823
2020-12-17 09:30:00-05:00,113866.83084106445,36202.900539398186,10,113866.83084106445
2020-12-18 09:30:00-05:00,114063.0708770752,36202.900539398186,10,114063.0708770752
2020-12-21 09:30:00-05:00,112884.93048667908,36202.900539398186,10,112884.93048667908
2020-12-22 09:30:00-05:00,113346.60982131958,51559.87055587768,8,113346.60982131958
2020-12-23 09:30:00-05:00,114020.31061935425,28487.350414276116,11,114020.31061935425
2020-12-24 09:30:00-05:00,113318.33134841919,28487.350414276116,11,113318.33134841919
2020-12-28 09:30:00-05:00,113911.0219039917,28487.350414276116,11,113911.0219039917
2020-12-29 09:30:00-05:00,113530.8004398346,28487.350414276116,11,113530.8004398346
2020-12-30 09:30:00-05:00,112542.74077606201,28487.350414276116,11,112542.74077606201
2020-12-31 09:30:00-05:00,112855.31966400146,28487.350414276116,11,112855.31966400146
2021-01-04 09:30:00-05:00,114186.01504898071,28487.350414276116,11,114186.01504898071
