symbol,source,price,avg_volume,ddv,spread_pct,turnover_pct,float_shares,market_cap,liquidity_score,liquidity_tier,max_position_rec,position_200k_pct_adv,position_400k_pct_adv,position_800k_pct_adv,days_to_liquidate_400k,ddv_score,spread_score,turnover_score,float_score,market_cap_score,exchange,currency
MCHP,IVV,63.72,8368986.666666667,533271830.40000004,9.760808200861684,1.548530982173663,528794800,34437275648,74.19412392869465,TIER 2 - GOOD,$600K-$800K,0.037504324923741554,0.07500864984748311,0.15001729969496622,0.000750086498474831,100.0,0.0,70.97061964347326,100.0,100.0,NMS,USD
DKS,IJH,197.97,1381075.0,273411417.75,3.0495049504950478,2.0799863273552313,64212608,17811144704,74.17270178942093,TIER 2 - GOOD,$600K-$800K,0.07314983465060504,0.14629966930121008,0.29259933860242016,0.0014629966930121009,100.0,0.0,81.59972654710462,85.6850432,100.0,NYQ,USD
LVS,IVV,65.09,5466730.0,355829455.70000005,0.630284396617981,0.8085270171997603,321275519,44681265152,74.16537217141828,TIER 2 - GOOD,$600K-$800K,0.05620670149596049,0.11241340299192099,0.22482680598384197,0.0011241340299192098,100.0,14.788624135280761,52.34108068799041,100.0,100.0,NYQ,USD
BMRN,IJH,59.43,2957543.3333333335,175766800.3,5.560919096350652,1.5394703340492544,190498662,11417355264,74.15788133619702,TIER 2 - GOOD,$600K-$800K,0.11378713139150202,0.22757426278300405,0.4551485255660081,0.0022757426278300404,100.0,0.0,70.78940668098508,100.0,100.0,NMS,USD
VFC,IJH,18.08,6586103.333333333,119076748.26666665,1.0497237569060842,1.685611980936548,387200421,7064303616,74.1553086469462,TIER 2 - GOOD,$600K-$800K,0.16795890290194154,0.3359178058038831,0.6718356116077662,0.0033591780580388307,100.0,0.0,73.71223961873096,100.0,94.12860723200001,NYQ,USD
BRKR,IJH,47.11,2533535.0,119354833.85,9.323116219667934,1.6674449943591316,103307823,7157947904,74.10136955823651,TIER 2 - GOOD,$600K-$800K,0.16756757439028516,0.3351351487805703,0.6702702975611406,0.003351351487805703,100.0,0.0,73.34889988718263,100.0,94.315895808,NMS,USD
EHC,IJH,106.14,864425.0,91750069.5,0.555294117647062,0.859132938698195,99122836,10690826240,74.06437762853162,TIER 2 - GOOD,$600K-$800K,0.2179834861051522,0.4359669722103044,0.8719339444206088,0.004359669722103044,96.56252895833333,17.78823529411752,54.3653175479278,99.6491344,100.0,NYQ,USD
GKOS,IJR,112.91,1094455.0,123574914.05,0.8199612061364899,1.90556273084896,55502558,6484956672,74.04978367643093,TIER 2 - GOOD,$600K-$800K,0.16184514594853566,0.3236902918970713,0.6473805837941426,0.003236902918970713,100.0,7.201551754540403,78.1112546169792,82.2010232,92.969913344,NYQ,USD
SMTC,IJR,73.69,1663053.3333333333,122550400.13333333,40.79221681723419,1.797117256296193,91506385,6819276800,74.04270748518478,TIER 2 - GOOD,$600K-$800K,0.1631981615583486,0.3263963231166972,0.6527926462333944,0.0032639632311669722,100.0,0.0,75.94234512592386,96.602554,93.6385536,NMS,USD
CMA,IJH,86.93,1929653.3333333333,167744764.26666668,2.405728991831717,1.5099702296448443,126748805,11109143552,74.03988091857937,TIER 2 - GOOD,$600K-$800K,0.1192287585692133,0.2384575171384266,0.4769150342768532,0.002384575171384266,100.0,0.0,70.19940459289688,100.0,100.0,NYQ,USD
