Trade ID,Ticker,Direction,Status,Entry Date,Entry Price,Exit Date,Exit Price,Duration (Days),Position Size,Fees,Profit/Loss (PNL),Return (%)
527,AMP,Long,Closed,2020-05-18 04:00:00,121.4557,2020-06-23 04:00:00,136.8114,36,3.9345,1.0161,59.4004,12.4304
528,AMP,Long,Closed,2020-06-25 04:00:00,139.5180,2020-06-29 04:00:00,136.5812,4,31.0886,8.5835,-99.8830,-2.3028
529,AMP,Long,Closed,2020-07-29 04:00:00,144.4524,2020-08-20 04:00:00,143.7824,22,3.7343,1.0764,-3.5784,-0.6634
530,AMP,Long,Closed,2020-08-24 04:00:00,146.1736,2020-08-26 04:00:00,144.3385,2,10.5694,3.0705,-22.4657,-1.4541
531,AMP,Long,Closed,2020-09-02 04:00:00,148.0364,2020-09-22 04:00:00,137.8046,20,5.4301,1.5521,-57.1115,-7.1048
532,AMP,Long,Closed,2020-09-30 04:00:00,142.8279,2020-10-27 04:00:00,150.5016,27,10.7377,3.1497,79.2492,5.1674
533,AMP,Long,Closed,2020-11-03 05:00:00,155.1912,2020-12-17 05:00:00,177.2039,44,3.8948,1.2946,84.4412,13.9700
534,AMP,Long,Closed,2021-01-06 05:00:00,184.3741,2021-02-01 05:00:00,187.2646,26,1.6074,0.5974,4.0487,1.3661
535,AMP,Long,Closed,2021-02-10 05:00:00,200.5140,2021-03-23 04:00:00,207.5974,40,5.9831,2.4418,39.9383,3.3291
536,AMP,Long,Closed,2021-04-20 04:00:00,227.0950,2021-05-20 04:00:00,237.8212,30,7.3008,3.3942,74.9151,4.5185
537,AMP,Long,Closed,2021-05-27 04:00:00,244.9349,2021-06-10 04:00:00,242.1308,14,1.0388,0.5060,-3.4188,-1.3437
538,AMP,Long,Closed,2021-08-11 04:00:00,256.4116,2021-09-07 04:00:00,255.0130,27,6.4724,3.3101,-12.3627,-0.7449
539,AMP,Long,Closed,2021-09-15 04:00:00,256.3644,2021-09-22 04:00:00,244.8914,7,10.0208,5.0230,-119.9917,-4.6708
540,AMP,Long,Closed,2021-09-27 04:00:00,262.3466,2021-10-04 04:00:00,250.3350,7,11.2882,5.7873,-141.3761,-4.7739
541,AMP,Long,Closed,2021-10-07 04:00:00,261.1652,2021-11-18 05:00:00,287.5711,42,8.9053,4.8867,230.2671,9.9007
542,AMP,Long,Closed,2022-01-04 05:00:00,301.7140,2022-01-20 05:00:00,293.4806,16,1.3911,0.8280,-12.2814,-2.9261
543,AMP,Long,Closed,2022-02-07 05:00:00,295.8614,2022-02-11 05:00:00,289.3829,4,3.9152,2.2913,-27.6558,-2.3875
544,AMP,Long,Closed,2022-03-31 04:00:00,285.9180,2022-04-07 04:00:00,275.3899,7,1.9476,1.0932,-21.5975,-3.8785
545,AMP,Long,Closed,2022-08-11 04:00:00,272.2065,2022-08-29 04:00:00,260.5042,18,0.8600,0.4581,-10.5216,-4.4947
546,AMP,Long,Closed,2022-09-09 04:00:00,275.3674,2022-09-20 04:00:00,264.3473,11,1.0493,0.5663,-12.1301,-4.1980
547,AMP,Long,Closed,2022-10-07 04:00:00,261.1960,2022-10-11 04:00:00,255.8445,4,17.6803,9.1414,-103.7578,-2.2468
548,AMP,Long,Closed,2022-10-25 04:00:00,267.3449,2022-12-05 05:00:00,309.8295,41,4.2377,2.4459,177.5913,15.6754
549,AMP,Long,Closed,2022-12-12 05:00:00,314.4600,2022-12-14 05:00:00,310.5626,2,7.7974,4.8735,-35.2628,-1.4381
550,AMP,Long,Closed,2023-01-06 05:00:00,309.9356,2023-02-21 05:00:00,329.6259,46,1.2142,0.7765,23.1306,6.1467
